Tempo (t),Bid
1,1.08201
2,1.08201
3,1.08202
4,1.08202
5,1.08202
6,1.08203
7,1.08203
8,1.08203
9,1.08204
10,1.08205
11,1.08205
12,1.08206
13,1.08207
14,1.08208
15,1.08209
16,1.0821
17,1.08212
18,1.08214
19,1.08216
20,1.08218
21,1.08221
22,1.08224
23,1.08227
24,1.08231
25,1.08235
26,1.0824
27,1.08245
28,1.08251
29,1.08258
30,1.08265
31,1.08274
32,1.08283
33,1.08293
34,1.08304
35,1.08316
36,1.08329
37,1.08343
38,1.08359
39,1.08375
40,1.08392
41,1.0841
42,1.08428
43,1.08448
44,1.08467
45,1.08488
46,1.08508
47,1.08528
48,1.08549
49,1.08569
50,1.08588
51,1.08608
52,1.08626
53,1.08644
54,1.08661
55,1.08677
56,1.08692
57,1.08706
58,1.08719
59,1.08732
60,1.08743
61,1.08753
62,1.08763
63,1.08772
64,1.0878
65,1.08787
66,1.08793
67,1.08799
68,1.08805
69,1.0881
70,1.08814
71,1.08818
72,1.08821
73,1.08824
74,1.08827
75,1.0883
76,1.08832
77,1.08834
78,1.08836
79,1.08837
80,1.08839
81,1.0884
82,1.08841
83,1.08842
84,1.08843
85,1.08844
86,1.08844
87,1.08845
88,1.08846
89,1.08846
90,1.08847
91,1.08847
92,1.08847
93,1.08848
94,1.08848
95,1.08848
96,1.08848
97,1.08849
98,1.08849
99,1.08849
100,1.08849
